"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210314"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 서구"
"읍면동 : 둔산동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 서구 둔산동","1203","1203","0000","은하수","84.9","202102","4","53,500","11","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202102","16","26,000","2","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1203","1203","0000","은하수","59.74","202102","20","34,000","11","1994","둔산남로 15",""
"대전광역시 서구 둔산동","1117","1117","0000","이노빌","25.2","202101","5","4,200","11","2002","대덕대로175번길 46",""
"대전광역시 서구 둔산동","1117","1117","0000","이노빌","24.48","202101","25","3,950","13","2002","대덕대로175번길 46",""
"대전광역시 서구 둔산동","1117","1117","0000","이노빌","24.48","202102","23","4,100","10","2002","대덕대로175번길 46",""
"대전광역시 서구 둔산동","1117","1117","0000","이노빌","24.48","202103","10","4,200","6","2002","대덕대로175번길 46",""
"대전광역시 서구 둔산동","1811","1811","0000","청솔아파트","126.02","202101","9","72,000","11","1991","둔산로 223",""
"대전광역시 서구 둔산동","1811","1811","0000","청솔아파트","84.76","202101","22","46,800","12","1991","둔산로 223",""
"대전광역시 서구 둔산동","1811","1811","0000","청솔아파트","84.76","202103","6","49,000","9","1991","둔산로 223",""
"대전광역시 서구 둔산동","1811","1811","0000","청솔아파트","127.215","202103","8","57,000","1","1991","둔산로 223",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","134.91","202101","13","163,500","12","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","134.91","202102","4","169,500","9","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","134.91","202102","8","160,000","5","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","164.95","202102","11","190,000","10","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","164.95","202102","15","190,000","7","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","114.63","202102","21","136,000","4","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","114.63","202103","6","139,000","4","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","164.95","202103","8","198,000","7","1992","둔산로 155",""
"대전광역시 서구 둔산동","1509","1509","0000","크로바","84.93","202103","12","90,000","12","1992","둔산로 155",""
"대전광역시 서구 둔산동","979","0979","0000","타임빌","38.98","202101","4","6,500","5","2003","둔지로 40",""
